HUC8,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
14080204,170.9642181,193.6472015,182.5876617,238.9541321,201.9556885,237.2763367,216.7062378,336.9772034,238.6319733,209.1970673,270.2499084,274.0196838,221.042572,192.7254181,225.9594116,259.4104004,200.4571838,183.5562439,162.1465149,201.2484436,252.3254547,245.2455444,245.6645355,246.8139801,312.4788513,339.2724609,229.2753296,308.2055969,308.470459,298.6741028,269.6243591,127.0341721,228.3253479,207.4003754,310.2247314,251.3576813,226.858017,213.0203247,186.9625092,306.0857544,264.3557739,242.6121826,229.0328217,207.1742249,196.0202637,208.2764893,259.3111572,239.2790222,196.3879089,192.4558105,231.6486053,153.9836884,292.7436523,212.6090088,175.3071136,285.3952026,227.2628937,367.2854004,233.8938293,185.2755737,222.5174561,248.3953552,123.5829773,212.7184601,249.4695282
15070102,383.9975586,370.1808472,311.2139282,323.4883728,282.6075745,339.9796448,339.8811035,563.1355591,386.6449585,396.0349121,431.1510925,364.7434387,364.2351685,304.6323242,358.4345093,353.1599121,353.8859558,253.2675934,393.1783447,315.5363159,582.6795044,407.3522644,380.8095093,377.6599731,502.0237427,567.164978,450.2784729,450.1577454,422.6961975,443.4057922,381.9341431,268.0499573,460.6063538,454.7539673,582.9803467,428.0801086,375.7187195,383.3371582,281.3158264,334.4067688,454.9558716,308.6842041,329.3078613,305.161377,168.8775635,362.2077637,435.8841553,351.582428,280.1954956,346.9523315,410.2831726,284.0615234,414.3080444,301.6700439,318.5220337,399.4906311,335.9743347,457.0069885,376.7079468,255.1710358,331.1299438,514.1502686,281.59198,478.7204285,318.1699524
15070103,311.3490601,340.5484619,237.6058197,281.9754333,236.6584015,293.5323181,297.1151123,513.1136475,324.1495361,349.5669556,366.2057495,313.4064636,328.8270264,262.5449524,301.6695251,294.7060852,310.7765503,196.3078613,349.2645264,280.513092,546.1461182,359.0321045,343.333374,315.0324707,455.2668457,475.611969,412.1077271,378.4213562,361.552063,383.2813416,330.5856934,226.6302185,398.7865295,394.2276306,516.012146,378.9032288,332.1865234,317.7789001,227.6938171,292.6197815,390.3799438,266.5587158,271.5809937,256.8184509,146.878067,304.4554443,382.19104,315.2244568,221.9028778,302.0757141,320.4804688,226.8375854,333.9577637,251.272522,288.1759644,338.243988,285.2479858,382.1546021,319.7556458,227.0131836,290.6576233,460.338562,229.3371582,384.1469421,284.2388
15020013,207.3766785,206.0075531,209.9997711,225.8641815,199.6598663,239.7684326,235.0019531,309.0162354,241.109436,223.3994141,271.8287354,256.2171021,194.8478546,185.4137115,230.0916595,247.6182098,193.6747589,203.8972321,189.004303,217.1586914,246.7487793,236.454071,256.9952393,258.6351318,311.0764465,330.9225769,253.6503296,324.7048035,273.016571,308.1886597,277.6609192,139.2360535,234.5683289,209.5393219,341.2559509,263.0157776,227.180603,223.4766998,187.942688,274.3877869,274.5175171,241.9326782,217.6735535,192.8536072,191.2059174,205.7586975,279.4548035,225.7429657,188.4317169,178.1178436,232.4278717,144.0260315,284.9833984,201.397644,189.0932922,274.990509,212.7969208,366.1083374,224.8034058,170.1296692,219.8091888,265.0510559,113.1376266,239.7563171,242.2699738
15030103,246.96492,248.7223511,179.1369476,146.2226868,124.8091583,199.7365265,126.1962967,341.9733887,203.5595093,213.5307312,179.1189575,228.9440002,195.820282,172.8332214,205.6996613,218.6222229,199.8013916,140.7229004,251.0263062,221.0905457,462.5484924,307.8754272,270.5759277,212.3935089,310.2775269,343.8513794,319.9443054,250.0779114,256.4707642,236.8129883,255.1136475,133.7956848,263.3138428,276.1551819,397.5411987,246.3095703,268.5420837,201.6320038,147.8530273,226.7830505,253.0860748,168.3296204,162.4239807,163.5708618,76.61171722,194.6875763,331.6323242,233.8030243,102.5201035,160.7879944,167.390274,152.2584839,198.1828308,151.5991974,276.4549255,181.4047241,165.7235565,260.5178528,204.5975952,165.8096466,207.1962585,295.59375,126.8506699,157.4197388,179.5346832
15030105,152.9812317,191.0920563,112.9701004,127.0401154,100.2221298,191.5119934,119.714859,280.9026489,157.8599243,202.9697876,145.9626007,172.7041931,162.3068085,125.8491364,164.821579,150.5706024,140.7929535,88.27950287,209.6856384,190.4257507,344.6038818,198.5942535,180.1153107,147.3640747,246.1608124,252.5649719,279.3542175,207.2149048,192.4443359,191.1911774,189.2435913,125.8260269,189.1439209,203.2357025,325.7058411,197.6659546,221.5740662,131.9784393,104.7471237,188.9626617,189.6218262,127.9059372,112.5250702,125.5552216,64.83666229,136.8493195,215.6375122,159.0092926,78.20783234,120.4573288,112.84021,111.4946365,142.6294098,127.6882782,167.3379211,164.5928955,143.6784058,196.3725586,165.991806,123.56604,163.8496399,263.9021606,112.35186,97.29742432,92.62382507
15030106,119.997879,145.4174347,92.47537994,100.1535034,74.07556915,196.1217804,87.28814697,229.8493347,119.7580795,176.3587646,122.2086105,159.562912,128.2374115,103.4209595,141.713028,125.9931564,96.68865204,66.09803009,216.4149628,187.6125183,297.1307068,181.8410492,146.5388489,118.7277832,214.4755554,220.7680511,243.1081238,166.4718475,152.618576,153.6215363,154.1262207,127.013176,154.6795807,169.8478851,281.6918945,170.6450806,193.8146667,102.0235291,86.05638123,166.7928619,152.5190277,98.39458466,83.16504669,101.1075745,48.70410538,110.1538086,186.072876,133.3752747,56.520504,88.11061096,80.96326447,92.13679504,116.0640488,107.6691513,139.6656036,132.2287903,123.3259964,167.3857422,142.5004578,109.812027,141.4814911,200.3099823,90.98120117,70.75967407,59.81145096
15040005,452.1760559,425.9598389,326.1165161,445.3885803,380.2626953,362.6277771,423.7473145,448.6842651,435.0592041,391.6639404,422.0832825,330.5708313,295.3239441,354.7019958,407.9473267,368.813446,348.8496399,346.7625122,332.7528076,436.8005371,533.6056519,422.2158508,409.3431396,404.3243103,517.7158813,682.243103,517.7609253,500.8452148,491.1467896,434.0207825,433.2277832,260.9789429,454.0390625,457.9136047,569.6152344,402.1283875,450.7365417,342.4963684,392.7763672,388.3201599,399.1412048,340.8382874,407.7073364,351.216095,279.3202515,322.2627869,426.2667542,338.2900696,394.3734131,416.010376,413.4255981,313.7254639,420.318512,415.361908,323.173584,366.4692383,386.1048279,545.1654053,421.1352844,318.4726563,419.280426,511.9784241,242.4960022,471.2514343,418.1152649
15050100,298.2296753,350.1095581,264.3185425,296.7911682,250.1998749,297.9981689,330.8751831,391.5986938,380.9312439,352.9411926,440.2458191,277.7367554,263.6282959,278.1424866,322.6255188,284.4265442,313.796051,254.3406067,292.9430237,292.0215454,563.3469238,378.1383667,332.4475708,290.6129761,450.6075134,533.7539673,476.5090027,423.9456787,369.8589172,341.9158936,315.7668762,234.7529755,408.4718933,381.1828613,533.8317871,409.2636108,369.6252136,318.5864563,253.0188293,259.6219177,350.4640808,238.0966797,331.414917,301.6942444,147.5075073,294.4507751,354.4485474,287.2227478,261.0372009,293.3470764,338.7557068,241.2156372,331.6542053,322.336792,249.6489563,314.8852844,297.7879944,387.6165161,333.4764404,223.2172546,323.659668,445.6851501,184.3599854,410.4498291,321.8363953
15050201,440.9771118,453.5195618,311.5597534,444.7563171,345.8384399,346.9535828,396.1639709,435.7469788,452.7752075,402.4460144,368.1700439,317.3492126,299.298645,372.1203308,394.4320984,326.5090332,351.1047974,328.6576843,333.5761108,485.9923096,494.3398438,361.4332275,330.973175,403.5298767,466.1716003,659.739624,535.1635132,509.0293579,476.0111389,419.8658447,444.9217529,279.8765259,482.2383728,447.0467834,541.7773438,363.9158325,425.9753418,338.3236389,380.0010376,390.6850281,357.6362,356.3214417,412.0222778,322.5545044,273.2655945,303.6148071,403.7743835,311.5892639,388.0984802,394.8456116,378.420929,305.7872009,422.383606,440.6030884,322.4720459,340.8078918,390.8952026,521.7886353,428.5714722,366.3118286,428.0705261,538.5823364,248.0940094,453.4855957,431.4895325
15050203,449.9408264,482.6132507,345.4473572,451.9449158,385.980835,394.9993896,461.4437561,472.3915405,496.661499,444.3112183,478.3993225,348.2945557,351.4020386,397.5896301,422.1497192,390.2026367,391.8621521,346.5933533,373.4130859,452.5052185,614.3878784,435.0364075,424.6794434,420.0863037,571.5463867,762.0800781,599.3282471,550.2683716,499.3354187,442.9014893,446.1063538,296.4977417,528.9440308,482.7365417,660.5994873,444.1641541,471.3092651,405.1246948,385.2142029,388.1240845,443.023407,361.8394775,448.7770691,387.0307007,248.0759125,367.4173584,454.3824768,361.6467896,397.9368591,423.2879333,428.6791077,324.2071838,459.6622009,493.291687,352.4992065,382.5610962,407.5409851,554.4004517,457.8675842,346.0698242,450.2886353,549.9778442,249.0319977,525.3128662,491.9744568
15050301,456.9728088,532.9268188,352.9946594,464.3530579,350.8426514,379.9385376,465.6742554,435.5744934,548.1966553,475.1145935,435.9918823,362.0952454,378.1522522,450.2966614,410.3837891,368.3143005,412.4718628,356.2118835,387.2297058,496.0742188,606.9979248,385.4725037,397.3513489,412.0995789,523.1846924,759.3371582,645.8632202,529.2943115,500.8012085,419.0339966,454.957428,312.7221985,567.9528198,442.2954102,632.0327759,425.0864258,437.4128113,386.5606079,371.5909424,367.6877136,436.2775269,397.7963867,468.5220947,374.8475952,259.217926,400.6757813,403.3160706,329.8827515,412.1700745,398.594635,417.4008179,314.4640503,462.4771423,519.5231934,370.7617188,376.0839539,423.6864014,549.2213745,471.7211914,382.7502441,473.1051941,586.5518188,240.5975189,440.25177,420.1221008
15050302,474.3493652,523.0285645,343.6394958,463.0091858,375.9431458,385.7731934,468.2771912,457.8935547,527.7393188,469.5187988,429.7246704,349.056427,371.8644714,436.1593628,427.7808228,370.7393188,407.7426147,350.5137939,387.0175171,496.0267639,594.2498169,393.2250061,401.5547791,419.67099,544.1795044,748.5164185,635.354187,539.7357788,499.411377,428.7946777,464.8027344,307.3895569,564.1138916,457.288208,643.5703125,431.7836609,454.7269897,397.3253784,387.2246704,381.2520447,440.2498779,397.5026245,462.8128357,382.565918,261.8480835,380.6283264,414.72995,342.9580078,418.9689941,413.5734863,418.0960083,320.2072449,466.2827148,521.392395,366.6430054,369.4353027,423.6583557,552.6275024,469.3403931,378.8860168,469.0383606,554.1659546,243.670517,466.9203796,466.532074
15050303,199.9296265,288.977356,177.3312836,236.1241608,176.5714111,210.4764099,257.8761292,299.6938171,267.6929626,289.2756042,288.7910767,194.460968,204.8185577,209.9122162,252.6939697,183.1310272,241.732666,178.4138794,231.3831329,224.2921906,436.7033081,260.6126099,212.3308716,193.3209534,336.735321,381.2377319,399.2174988,302.342865,261.40979,240.1551971,229.0474854,162.6347198,309.8465271,254.5453949,402.3000793,289.1604004,268.6664124,208.9207306,168.6376953,177.9516907,251.3190613,180.7827606,242.4602966,211.9455109,107.31707,221.069519,246.2380219,192.8597107,186.4541016,196.5085754,227.729126,167.669632,233.4620209,242.9893494,185.0026093,230.5735779,224.3436127,276.1412354,243.8712769,170.1425018,250.3833008,318.9145813,125.3221512,251.9918365,228.1453552
