HUC8,YEAR,mean_recharge
14070006,1991,0
14070006,1992,18.984427001875776
14070006,1993,19.013224231112556
14070006,1994,0
14070006,1995,0.5555444046523171
14070006,1996,0
14070006,1997,11.137978155216075
14070006,1998,2.1158715698939488
14070006,1999,0
14070006,2000,3.7922375496010545
14070006,2001,0
14070006,2002,0
14070006,2003,0
14070006,2004,4.036542774706752
14070006,2005,23.32174757027748
14070006,2006,38.184488614261944
14070006,2007,14.023208913686075
14070006,2008,6.861331843818314
14070006,2009,5.738881383054045
14070006,2010,2.381013300145016
14070006,2011,1.3106294295912144
14070006,2012,0
14070006,2013,14.000560862679507
14070006,2014,0
14070006,2015,10.57838822351804
14070006,2016,9.190492012503958
14070006,2017,20.410904752298254
14070006,2018,0
14070006,2019,13.669756985707613
14070006,2020,0
14070007,1991,0
14070007,1992,34.2468713793051
14070007,1993,58.222766478980645
14070007,1994,0
14070007,1995,0.33267284420654913
14070007,1996,0
14070007,1997,0
14070007,1998,0
14070007,1999,0
14070007,2000,13.662088435774052
14070007,2001,0
14070007,2002,0
14070007,2003,0
14070007,2004,33.067792365070694
14070007,2005,32.730224642513726
14070007,2006,29.85177396687775
14070007,2007,3.7837114482803624
14070007,2008,19.542941127478485
14070007,2009,14.047808159147829
14070007,2010,35.69910123590124
14070007,2011,0
14070007,2012,0
14070007,2013,6.387840676461862
14070007,2014,0
14070007,2015,0.16775391451833235
14070007,2016,12.816338196040697
14070007,2017,0
14070007,2018,9.919526182366143
14070007,2019,31.854650007182187
14070007,2020,0
14080105,1991,19.893212978124506
14080105,1992,16.220243990638092
14080105,1993,32.201244174742584
14080105,1994,6.1436942258173834
14080105,1995,20.962203957715747
14080105,1996,18.473075758238224
14080105,1997,5.09960674807932
14080105,1998,14.301443583095127
14080105,1999,0
14080105,2000,0
14080105,2001,0
14080105,2002,0
14080105,2003,1.6833234566000355
14080105,2004,0
14080105,2005,12.324324936066583
14080105,2006,17.81859447887209
14080105,2007,40.55430393098836
14080105,2008,16.39284418699811
14080105,2009,0
14080105,2010,16.77833157573459
14080105,2011,0
14080105,2012,0.7390451465155453
14080105,2013,0
14080105,2014,0
14080105,2015,0
14080105,2016,4.840501087744721
14080105,2017,0
14080105,2018,0
14080105,2019,21.735098247547914
14080105,2020,0
14080106,1991,202.47022948579604
14080106,1992,87.17785326436605
14080106,1993,163.0080523060994
14080106,1994,52.366115472326065
14080106,1995,107.08965095977707
14080106,1996,88.24666501508224
14080106,1997,65.32182818611507
14080106,1998,104.36566336743516
14080106,1999,7.185805204871942
14080106,2000,20.149192993888654
14080106,2001,40.34547494851798
14080106,2002,13.908915981891848
14080106,2003,56.32608657923748
14080106,2004,42.911988188149365
14080106,2005,87.83778976849106
14080106,2006,92.29901954981837
14080106,2007,149.49241833403593
14080106,2008,117.86733194639864
14080106,2009,58.440399072379776
14080106,2010,132.1586840231187
14080106,2011,45.4871810494775
14080106,2012,38.86162573026306
14080106,2013,25.211850012706353
14080106,2014,9.340752459320687
14080106,2015,47.5830684235099
14080106,2016,33.14349589126931
14080106,2017,47.71419759908148
14080106,2018,10.228742966922162
14080106,2019,128.17407504740854
14080106,2020,2.499187971525188
14080201,1991,1.3256680557670737
14080201,1992,7.574103214626257
14080201,1993,18.945972108744165
14080201,1994,0
14080201,1995,7.775222389011508
14080201,1996,1.9710018993151388
14080201,1997,0
14080201,1998,0
14080201,1999,0
14080201,2000,0
14080201,2001,0
14080201,2002,0
14080201,2003,0
14080201,2004,0
14080201,2005,0
14080201,2006,9.038542877032572
14080201,2007,28.216688585122085
14080201,2008,0
14080201,2009,0
14080201,2010,0
14080201,2011,0
14080201,2012,0
14080201,2013,0
14080201,2014,0
14080201,2015,6.040640664206131
14080201,2016,6.496413040333733
14080201,2017,0
14080201,2018,0
14080201,2019,10.04117197682417
14080201,2020,1.6611009203413973
14080204,1991,13.916433402074462
14080204,1992,0
14080204,1993,7.221147789804672
14080204,1994,0
14080204,1995,4.84831726321657
14080204,1996,0
14080204,1997,0.5087380853837529
14080204,1998,1.9253411732588053
14080204,1999,0
14080204,2000,0
14080204,2001,0
14080204,2002,0
14080204,2003,0
14080204,2004,0
14080204,2005,5.0567207282930955
14080204,2006,6.281349473973106
14080204,2007,12.83406223548707
14080204,2008,0.24370996207779297
14080204,2009,0
14080204,2010,0.2180809987855705
14080204,2011,0
14080204,2012,0
14080204,2013,0
14080204,2014,0
14080204,2015,2.0226527483820753
14080204,2016,2.2227974446357215
14080204,2017,2.1282851386234007
14080204,2018,0
14080204,2019,1.7047291331226926
14080204,2020,0
14080205,1991,8.727319833431478
14080205,1992,1.7408004496390481
14080205,1993,19.342181989375373
14080205,1994,0
14080205,1995,4.613963088174489
14080205,1996,0
14080205,1997,0
14080205,1998,0
14080205,1999,0
14080205,2000,0
14080205,2001,0
14080205,2002,0
14080205,2003,0
14080205,2004,0
14080205,2005,19.905417376522998
14080205,2006,23.370394123688584
14080205,2007,9.043304835181504
14080205,2008,0
14080205,2009,0.9882590943613022
14080205,2010,0
14080205,2011,0
14080205,2012,0
14080205,2013,0
14080205,2014,0
14080205,2015,10.834984074203208
14080205,2016,7.75448037214998
14080205,2017,7.744405875177476
14080205,2018,0
14080205,2019,21.30501862821788
14080205,2020,0
15010001,1991,18.52402398320121
15010001,1992,79.17757188727485
15010001,1993,90.5151346861523
15010001,1994,22.41417008913145
15010001,1995,50.64580953834472
15010001,1996,10.947220687638676
15010001,1997,22.269194637015655
15010001,1998,35.44202931346032
15010001,1999,0
15010001,2000,38.52997924513898
